corp_code,stock_code,corp_name,market,code,name,market_krx,marcap,log_marcap
01267170,285130,SK케미칼,KOSPI,285130,SK케미칼,KOSPI,842449904200,27.45958003651485
00684714,103140,풍산,KOSPI,103140,풍산,KOSPI,2457729180600,28.530258942239044
00657002,200710,에이디테크놀로지,KOSDAQ,200710,에이디테크놀로지,KOSDAQ,603771013950,27.126460847021775
00414850,094280,효성 ITX,KOSPI,094280,효성ITX,KOSPI,146789140000,25.712262972188668
01316236,298000,효성화학,KOSPI,298000,효성화학,KOSPI,147501447900,25.71710382894929
01316254,298050,HS효성첨단소재,KOSPI,298050,HS효성첨단소재,KOSPI,1021428144000,27.652222905117526
00547583,086790,하나금융지주,KOSPI,086790,하나금융지주,KOSPI,32649762012000,31.116858682558572
00141246,016250,SGC E&C,KOSDAQ,016250,SGC E&C,KOSDAQ,75051091400,25.041434937225272
00120076,001120,LX인터내셔널,KOSPI,001120,LX인터내셔널,KOSPI,1761642000000,28.197267444592466
01205709,267250,HD현대,KOSPI,267250,HD현대,KOSPI,21288636407500,30.689194544285797
00101664,214390,경보제약,KOSPI,214390,경보제약,KOSPI,146788120400,25.712256026146605
00126308,028050,삼성E&A,KOSPI,028050,삼성E&A,KOSPI,9917600000000,29.925332072470347
00500254,078930,GS,KOSPI,078930,GS,KOSPI,7182358719400,29.602648957491535
00138190,001250,GS글로벌,KOSPI,001250,GS글로벌,KOSPI,316929653760,26.481945673768465
01042775,204320,HL만도,KOSPI,204320,HL만도,KOSPI,2897254304000,28.694784612706446
00109693,000210,DL,KOSPI,000210,DL,KOSPI,1255257451600,27.858361808190946
00148276,030000,제일기획,KOSPI,030000,제일기획,KOSPI,2253657597750,28.443575611289
00877059,207940,삼성바이오로직스,KOSPI,207940,삼성바이오로직스,KOSPI,65686859469000,31.815920013332637
00137207,011330,유니켐,KOSPI,011330,유니켐,KOSPI,51136503579,24.65776443487887
00164830,009540,HD한국조선해양,KOSPI,009540,HD한국조선해양,KOSPI,29441616256000,31.013430308282274
00631518,096770,SK이노베이션,KOSPI,096770,SK이노베이션,KOSPI,20878019318000,30.669718014194427
00401731,066570,LG전자,KOSPI,066570,LG전자,KOSPI,39173755439000,31.299028134399865
00992871,185750,종근당,KOSPI,185750,종근당,KOSPI,1120785736000,27.745051105264384
00390055,063160,종근당바이오,KOSPI,063160,종근당바이오,KOSPI,101545156620,25.34376942930067
00579971,094360,칩스앤미디어,KOSDAQ,094360,칩스앤미디어,KOSDAQ,371214627600,26.64004624333205
00159023,017670,SK텔레콤,KOSPI,017670,SK텔레콤,KOSPI,21758232368900,30.71101330156983
00104388,007690,국도화학,KOSPI,007690,국도화학,KOSPI,355152907200,26.5958142581937
00154462,002790,아모레퍼시픽홀딩스,KOSPI,002790,아모레퍼시픽홀딩스,KOSPI,1957329408000,28.30260211312105
00131780,001740,SK네트웍스,KOSPI,001740,SK네트웍스,KOSPI,1749178712080,28.190167486321936
00583424,090430,아모레퍼시픽,KOSPI,090430,아모레퍼시픽,KOSPI,7136116598000,29.5961898504786
00261355,038390,레드캡투어,KOSDAQ,038390,레드캡투어,KOSDAQ,174230965240,25.88364764239917
