corp_code,year,status,message,total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,stock_code,corp_name,market,debt_ratio,roa,operating_margin,log_assets
01267170,2019,000,정상,2131709150029.0,1413002857170.0,718706292859.0,1427185610647.0,80337817855.0,5021553809.0,285130,SK케미칼,KOSPI,1.9660365732281284,0.0023556467864913402,0.056291078928815484,28.387945191738783
01267170,2020,000,정상,2119966956886.0,1161034163654.0,958932793232.0,1214709208859.0,106282993816.0,255161209775.0,285130,SK케미칼,KOSPI,1.2107565533772549,0.1203609372052685,0.08749665602340637,28.38242161811647
01267170,2021,000,정상,3955632394256.0,1388894985738.0,2566737408518.0,2089631876416.0,555185910439.0,268743338018.0,285130,SK케미칼,KOSPI,0.5411130024944505,0.06793941176339945,0.26568598838146484,29.006161601775798
01267170,2022,000,정상,3945682879744.0,1236777050588.0,2708905829156.0,1829191322924.0,230480673367.0,231475869672.0,285130,SK케미칼,KOSPI,0.45655963277739203,0.05866560408600764,0.12600140317666272,29.00364315530815
01267170,2023,000,정상,4158774903691.0,1483000847844.0,2675774055847.0,1748777740387.0,83302487079.0,47837893778.0,285130,SK케미칼,KOSPI,0.5542324639120417,0.011502881229648392,0.04763469087876506,29.056241652524708
01267170,2024,000,정상,5367048627339.0,2334082396873.0,3032966230466.0,1736778902011.0,-45175568334.0,-4364733944.0,285130,SK케미칼,KOSPI,0.7695708489686612,-0.0008132465805818586,-0.026011122245722603,29.31129926951428
01267170,2025,000,정상,6087624380520.0,2947185327552.0,3140439052968.0,2365164441719.0,-207363696.0,27297323639.0,285130,SK케미칼,KOSPI,0.9384628320573973,0.00448406832168385,-8.767411362285161e-05,29.4372790362468
00684714,2019,000,정상,2562507866141.0,1178693551157.0,1383814314984.0,2451305535330.0,41142663278.0,17625569038.0,103140,풍산,KOSPI,0.8517714684651375,0.00687824972984109,0.016783980081235075,28.572007530101924
00684714,2020,000,정상,2552025017070.0,1105623742384.0,1446401274686.0,2593636025736.0,121208786517.0,71907050762.0,103140,풍산,KOSPI,0.7643962721368732,0.028176467817136466,0.0467331519589779,28.56790828429016
00684714,2021,000,정상,3148260459261.0,1462625455417.0,1685635003844.0,3509498278523.0,314125035707.0,243387043769.0,103140,풍산,KOSPI,0.867699977801577,0.07730842060829075,0.08950710636598516,28.777871181072857
00684714,2022,000,정상,3395297191796.0,1553056946285.0,1842240245511.0,4372982501228.0,231619553412.0,175261942564.0,103140,풍산,KOSPI,0.8430262828473892,0.05161902851611414,0.05296603710327167,28.853412411192213
00684714,2023,000,정상,3660628679317.0,1694674158819.0,1965954520498.0,4125263947257.0,228636480718.0,156440326543.0,103140,풍산,KOSPI,0.8620108660447133,0.04273591785665314,0.05542347923458973,28.928656018896184
00684714,2024,000,정상,4096582596724.0,1897280647817.0,2199301948907.0,4554411454633.0,323768893078.0,236045982790.0,103140,풍산,KOSPI,0.8626740174353515,0.05762021812492291,0.07108907403362609,29.041174229079562
00684714,2025,000,정상,4329189509985.0,2031057963388.0,2298131546597.0,5048580386639.0,297427463130.0,147164434318.0,103140,풍산,KOSPI,0.8837866424119741,0.033993530192793504,0.05891308850249028,29.096401460280525
00657002,2019,000,정상,110161796768.0,54436301746.0,55725495022.0,225809534323.0,12158232842.0,8004174610.0,200710,에이디테크놀로지,KOSDAQ,0.976865288042914,0.0726583520315735,0.05384286752307258,25.425216001763932
00657002,2020,000,정상,220316128949.0,71845370389.0,148470758560.0,292360369641.0,13481725541.0,2840925514.0,200710,에이디테크놀로지,KOSDAQ,0.48390249424074877,0.012894768656077981,0.0461133824586236,26.11832930164259
00657002,2021,000,정상,234198491068.0,69878013706.0,164320477362.0,322083657505.0,11386146508.0,14960605706.0,200710,에이디테크놀로지,KOSDAQ,0.425254446845708,0.06388002603166285,0.03535151890723683,26.179434845168693
00657002,2022,000,정상,234055082976.0,66431164310.0,167623918666.0,164248769577.0,4397640236.0,5621152191.0,200710,에이디테크놀로지,KOSDAQ,0.3963107701972282,0.02401636452209155,0.02677426593407984,26.17882232193584
00657002,2023,000,정상,289424082041.0,140674922116.0,148749159925.0,100172177678.0,-17407233831.0,-16256430677.0,200710,에이디테크놀로지,KOSDAQ,0.9457191031326089,-0.05616820328965267,-0.1737731397529856,26.391158861368666
00657002,2024,000,정상,244893383816.0,113259369739.0,131634014077.0,106545463919.0,-16953519212.0,-15176761422.0,200710,에이디테크놀로지,KOSDAQ,0.8604111219517194,-0.06197293363140843,-0.15912004686458284,26.224088784680063
00657002,2025,000,정상,293465147035.0,157557771327.0,135907375708.0,164511629858.0,2852844756.0,3578357069.0,200710,에이디테크놀로지,KOSDAQ,1.1593025802037142,0.012193465238218659,0.017341295314273305,26.405024719708432
00414850,2019,000,정상,159341636763.0,107614359480.0,51727277283.0,388240100339.0,13026206983.0,10829854983.0,094280,효성 ITX,KOSPI,2.0804180141019546,0.06796625918376879,0.03355193595825339,25.794316392987206
00414850,2020,000,정상,161698569724.0,112273681131.0,49424888593.0,484119583520.0,16812254864.0,12749411272.0,094280,효성 ITX,KOSPI,2.2716021083131226,0.07884677826007806,0.03472748353156726,25.808999758246074
00414850,2021,000,정상,241404764480.0,138085361213.0,103319403267.0,475904429382.0,20287985472.0,14388125433.0,094280,효성 ITX,KOSPI,1.3364901155706168,0.05960166305744986,0.04263037748639065,26.20974088228334
00414850,2022,000,정상,176818736427.0,111070179540.0,65748556887.0,511266620347.0,22323153949.0,14921412242.0,094280,효성 ITX,KOSPI,1.6893173751462387,0.08438818500527141,0.043662451371945875,25.89839095680081
00414850,2023,000,정상,176284813736.0,106070813281.0,70214000455.0,503774955158.0,19190293316.0,14579375004.0,094280,효성 ITX,KOSPI,1.5106789613701124,0.08270352218673657,0.038092987989014476,25.895366783876607
00414850,2024,000,정상,166325113534.0,95724948757.0,70600164777.0,506354423294.0,18749635222.0,11767673978.0,094280,효성 ITX,KOSPI,1.3558742966019977,0.07075103529446541,0.0370286786477099,25.837210225177465
00414850,2025,000,정상,195317934340.0,120207040084.0,75110894256.0,519013909878.0,18958791370.0,15452778088.0,094280,효성 ITX,KOSPI,1.6003942074541022,0.07911602250052753,0.03652848412956114,25.997894500310856
01316236,2019,000,정상,2063516498234.0,1608808058312.0,454708439922.0,1812470395896.0,153887309275.0,87823448279.0,298000,효성화학,KOSPI,3.5381090761983054,0.042560090192717684,0.08490472982259407,28.35543268137435
01316236,2020,000,정상,2417365034469.0,2015011905019.0,402353129450.0,1817189980493.0,60927548911.0,-11616487928.0,298000,효성화학,KOSPI,5.008068180738242,-0.004805433917658896,0.03352844202589675,28.513699234160683
01316236,2021,000,정상,3056203399417.0,2554748674581.0,501454724836.0,2452990221917.0,148572510622.0,70414311054.0,298000,효성화학,KOSPI,5.094674649673561,0.02303979868206161,0.06056791800249872,28.748194542418826
01316236,2022,000,정상,3131118899043.0,3016501814422.0,114617084621.0,2878558180595.0,-336727239866.0,-408866780552.0,298000,효성화학,KOSPI,26.318081849634833,-0.1305816846102416,-0.11697774327993546,28.772411532333972
01316236,2023,000,정상,3115610852602.0,3053727221219.0,61883631383.0,2791629366532.0,-188836196768.0,-346912679351.0,298000,효성화학,KOSPI,49.34628354821929,-0.11134660128086155,-0.06764372055685473,28.767446349296577
01316236,2024,000,정상,3272029757634.0,3340022426701.0,-67992669067.0,2838188216213.0,-170490593038.0,-325724192131.0,298000,효성화학,KOSPI,-49.12327273709083,-0.09954805312239297,-0.06007022087685429,28.81643162925911
01316236,2025,000,정상,2594091115287.0,1961019644398.0,633071470889.0,2340718244068.0,-160500285509.0,326028405105.0,298000,효성화학,KOSPI,3.0976275737780585,0.1256811694792492,-0.06856881895792039,28.584257326605687
01316254,2019,000,정상,2531098756779.0,2125698242339.0,405400514440.0,3053616298735.0,158326476760.0,-52906924766.0,298050,HS효성첨단소재,KOSPI,5.243452256777062,-0.020902750089975847,0.05184884454068076,28.559674615607836
