stock_code,corp_code,corp_name,induty_code,sector
285130,01267170,SK케미칼,20202,Chemicals/Materials
103140,00684714,풍산,242,Chemicals/Materials
200710,00657002,에이디테크놀로지,2611,IT/Electronics
094280,00414850,효성 ITX,759,Other
298000,01316236,효성화학,201,Chemicals/Materials
298050,01316254,HS효성첨단소재,205,Chemicals/Materials
086790,00547583,하나금융지주,64992,Finance
016250,00141246,SGC E&C,4112,Construction
001120,00120076,LX인터내셔널,4610,Consumer
267250,01205709,HD현대,64992,Finance
214390,00101664,경보제약,211,Biotech/Healthcare
028050,00126308,삼성E&A,72129,Biotech/Healthcare
078930,00500254,GS,64992,Finance
001250,00138190,GS글로벌,468,Consumer
204320,01042775,HL만도,303,Machinery/Transportation
000210,00109693,DL,20111,Chemicals/Materials
030000,00148276,제일기획,71310,Services
207940,00877059,삼성바이오로직스,211,Biotech/Healthcare
011330,00137207,유니켐,303,Machinery/Transportation
009540,00164830,HD한국조선해양,64992,Finance
096770,00631518,SK이노베이션,192,Energy
066570,00401731,LG전자,264,IT/Electronics
185750,00992871,종근당,212,Biotech/Healthcare
063160,00390055,종근당바이오,212,Biotech/Healthcare
094360,00579971,칩스앤미디어,261,IT/Electronics
017670,00159023,SK텔레콤,61220,IT/Electronics
007690,00104388,국도화학,20111,Chemicals/Materials
002790,00154462,아모레퍼시픽홀딩스,20423,Chemicals/Materials
001740,00131780,SK네트웍스,467,Consumer
090430,00583424,아모레퍼시픽,20423,Chemicals/Materials
038390,00261355,레드캡투어,75210,Other
034830,00233653,한국토지신탁,642,Finance
136540,00868705,윈스테크넷,62021,IT/Electronics
045300,00350482,성우테크론,2629,IT/Electronics
206650,00927558,유바이오로직스,212,Biotech/Healthcare
003620,00138242,KG모빌리티,301,Machinery/Transportation
066130,00221728,하츠,28519,Machinery/Transportation
005930,00126380,삼성전자,264,IT/Electronics
035420,00266961,NAVER,63120,IT/Electronics
229640,01093007,LS에코에너지,64992,Finance
058430,00155258,포스코스틸리온,2419,Chemicals/Materials
298020,01316227,효성티앤씨,2050,Chemicals/Materials
298040,01316245,효성중공업,281,Machinery/Transportation
035000,00140168,HS애드,71310,Services
007070,00140177,GS리테일,47122,Consumer
030210,00156859,다올투자증권,661,Finance
267260,01205851,HD현대일렉트릭,281,Machinery/Transportation
047050,00124504,포스코인터내셔널,461,Consumer
051910,00356361,LG화학,20111,Chemicals/Materials
005490,00155319,POSCO홀딩스,2411,Chemicals/Materials
004430,00134963,송원산업,20499,Chemicals/Materials
267270,01205842,HD건설기계,29241,Machinery/Transportation
046890,00130763,서울반도체,2612,IT/Electronics
014830,00159786,유니드,20129,Chemicals/Materials
053210,00349097,케이티스카이라이프,60229,Services
034220,00105873,LG디스플레이,2621,IT/Electronics
003490,00113526,대한항공,511,Machinery/Transportation
025900,00173032,동화기업,16212,Chemicals/Materials
005430,00156691,한국공항,52939,Machinery/Transportation
108670,00759513,LX하우시스,2222,Chemicals/Materials
004800,00117188,효성,649,Finance
011150,00129013,CJ씨푸드,108,Consumer
035510,00219486,신세계I&C,62021,IT/Electronics
054950,00361381,제이브이엠,29192,Machinery/Transportation
010120,00105855,엘에스일렉트릭,28121,Machinery/Transportation
109080,00660291,옵티시스,26410,IT/Electronics
006360,00120030,GS건설,4111,Construction
044450,00160232,KSS해운,50112,Machinery/Transportation
175330,00980122,JB금융지주,64992,Finance
032640,00231363,LG유플러스,61220,IT/Electronics
009150,00126371,삼성전기,2622,IT/Electronics
008260,00116301,NI스틸,2419,Chemicals/Materials
294870,01310269,IPARK현대산업개발,411,Construction
012510,00172291,더존비즈온,62022,IT/Electronics
047040,00124540,대우건설,41112,Construction
215000,01067516,골프존,58219,IT/Electronics
012280,00141413,영화금속,303,Machinery/Transportation
234300,01014055,에스트래픽,6202,IT/Electronics
003670,00155276,포스코퓨처엠,282,Machinery/Transportation
012750,00158501,에스원,75320,Other
010950,00138279,S-Oil,19210,Energy
041920,00273439,메디아나,27112,IT/Electronics
214320,00565154,이노션,71310,Services
178920,00767460,PI첨단소재,2221,Chemicals/Materials
071320,00159698,지역난방공사,35300,Energy
018250,00139454,애경산업,20422,Chemicals/Materials
086280,00360595,현대글로비스,5299,Machinery/Transportation
008770,00165680,호텔신라,47859,Consumer
012330,00164788,현대모비스,303,Machinery/Transportation
006400,00126362,삼성SDI,28202,Machinery/Transportation
011070,00105961,LG이노텍,262,IT/Electronics
029780,00126292,삼성카드,64913,Finance
011210,00106623,현대위아,303,Machinery/Transportation
000720,00164478,현대건설,41221,Construction
004020,00145880,현대제철,2411,Chemicals/Materials
036560,00141389,KZ정밀,29120,Machinery/Transportation
000270,00106641,기아,30121,Machinery/Transportation
016580,00166573,환인제약,212,Biotech/Healthcare
064350,00302926,현대로템,31910,Machinery/Transportation
005380,00164742,현대자동차,30121,Machinery/Transportation
004000,00157681,롯데정밀화학,20119,Chemicals/Materials
