date,close,updown,comp,change,open,high,low,volume,amount,marcap,index_type
2018-07-02,2271.54,2,-54.59,-0.0235,2322.23,2327.59,2271.53,393265550,5990017994764,1518812068344080.0,KOSPI
2018-07-03,2272.76,1,1.22,0.0005,2285.88,2287.39,2252.36,366027823,6002085994344,1519169824625884.0,KOSPI
2018-07-04,2265.46,2,-7.3,-0.0032,2270.95,2280.81,2261.34,315103306,4880994735621,1514392988362243.0,KOSPI
2018-07-05,2257.55,2,-7.91,-0.0034999999999999,2264.74,2274.74,2243.9,346883778,5166569348330,1509639741725747.0,KOSPI
2018-07-06,2272.87,1,15.32,0.0068,2261.44,2283.75,2247.35,344433123,6358357730172,1519066699871086.0,KOSPI
2018-07-09,2285.8,1,12.93,0.0056999999999999,2276.92,2294.61,2267.25,352638929,5796356280980,1527555839535755.0,KOSPI
2018-07-10,2294.16,1,8.36,0.0037,2299.09,2305.84,2292.13,339918901,5038809435862,1533821000789050.0,KOSPI
2018-07-11,2280.62,2,-13.54,-0.0059,2277.22,2287.08,2262.77,422988851,5700944882684,1524675252177269.0,KOSPI
2018-07-12,2285.06,1,4.44,0.0019,2285.93,2298.56,2277.73,364407858,6157666591795,1527075839846068.0,KOSPI
2018-07-13,2310.9,1,25.84,0.0113,2293.07,2313.8,2293.07,291562667,6500717751063,1543892667554058.0,KOSPI
2018-07-16,2301.99,2,-8.91,-0.0039,2312.26,2317.84,2299.79,297122349,4968950237698,1538124413558617.0,KOSPI
2018-07-17,2297.92,2,-4.07,-0.0018,2302.95,2306.07,2290.24,379033611,4897898599332,1535441962423983.0,KOSPI
2018-07-18,2290.11,2,-7.81,-0.0034,2313.78,2319.39,2287.1,402771770,5032249001766,1531112599552728.0,KOSPI
2018-07-19,2282.29,2,-7.82,-0.0034,2298.91,2300.18,2278.94,464516252,5431161926643,1526048346516196.0,KOSPI
2018-07-20,2289.19,1,6.9,0.003,2281.36,2293.34,2269.55,353236050,4910685111632,1531651201045245.0,KOSPI
2018-07-23,2269.31,2,-19.88,-0.0087,2289.61,2289.61,2264.42,334290969,5549481739595,1517777198303028.0,KOSPI
2018-07-24,2280.2,1,10.89,0.0048,2273.15,2284.43,2263.13,436133079,5831914348041,1525094802386671.0,KOSPI
2018-07-25,2273.03,2,-7.17,-0.0031,2284.38,2292.61,2269.67,309319890,6142619801742,1520152854352159.0,KOSPI
2018-07-26,2289.06,1,16.03,0.0070999999999999,2284.51,2297.16,2276.54,303334181,6357106063496,1530914783783147.0,KOSPI
2018-07-27,2294.99,1,5.93,0.0026,2292.33,2295.27,2284.44,262143886,5091586506669,1535382663209649.0,KOSPI
2018-07-30,2293.51,2,-1.48,-0.0006,2290.18,2296.91,2283.29,206497608,4552317501764,1534963942393224.0,KOSPI
2018-07-31,2295.26,1,1.75,0.0008,2292.23,2296.6,2286.02,223927490,4878429087333,1536034531292007.0,KOSPI
2018-08-01,2307.07,1,11.81,0.0051,2301.17,2312.65,2301.13,219034945,4832858786781,1544459954630534.0,KOSPI
2018-08-02,2270.2,2,-36.87,-0.016,2304.14,2306.72,2265.46,352056565,5042803042239,1519901925772783.0,KOSPI
2018-08-03,2287.68,1,17.48,0.0077,2278.33,2288.93,2272.94,270494062,4312568032947,1531545566171179.0,KOSPI
2018-08-06,2286.5,2,-1.18,-0.0005,2288.51,2300.38,2283.26,244548774,4607350821441,1529611886744554.0,KOSPI
2018-08-07,2300.16,1,13.66,0.006,2290.85,2301.27,2279.55,230339675,4748559015112,1538743025266743.0,KOSPI
2018-08-08,2301.45,1,1.29,0.0006,2305.73,2308.6,2298.41,299691489,5518133744814,1540110623764887.0,KOSPI
2018-08-09,2303.71,1,2.26,0.001,2303.04,2303.71,2291.91,244882986,5985859284788,1541180722770705.0,KOSPI
2018-08-10,2282.79,2,-20.92,-0.0091,2295.21,2295.62,2277.89,286161078,6186206254325,1526683423245996.0,KOSPI
2018-08-13,2248.45,2,-34.34,-0.015,2266.43,2271.82,2238.55,335380511,5950055509959,1503939154352444.0,KOSPI
2018-08-14,2258.91,1,10.46,0.0046999999999999,2249.86,2262.52,2247.37,255216014,4872038898111,1510814983062929.0,KOSPI
2018-08-16,2240.8,2,-18.11,-0.008,2233.05,2244.08,2218.09,312519375,6021648650166,1497924103769965.0,KOSPI
2018-08-17,2247.05,1,6.25,0.0028,2244.61,2250.92,2240.14,238377527,4645284152168,1502273893640325.0,KOSPI
2018-08-20,2247.88,1,0.83,0.0004,2257.35,2264.42,2245.06,271600351,4418976884905,1502923724234727.0,KOSPI
2018-08-21,2270.06,1,22.18,0.0098999999999999,2248.04,2272.86,2244.59,294337213,5182953755161,1518199753227447.0,KOSPI
2018-08-22,2273.33,1,3.27,0.0014,2273.68,2280.31,2268.91,269270912,5425019391021,1521284193501082.0,KOSPI
2018-08-23,2282.6,1,9.27,0.0040999999999999,2282.57,2282.88,2268.06,338386224,5238289843965,1527487740875470.0,KOSPI
2018-08-24,2293.21,1,10.61,0.0046,2276.16,2295.22,2271.35,347291597,5136917947450,1534269101931912.0,KOSPI
2018-08-27,2299.3,1,6.09,0.0027,2297.32,2302.87,2289.41,307044931,5766323251561,1538348009819780.0,KOSPI
2018-08-28,2303.12,1,3.82,0.0017,2312.14,2314.6,2299.45,276889044,5503107308117,1540990367787281.0,KOSPI
